NameofProgram,WeeksDuration,Hours,HrsWeek,FullTime,Part Time,Type,Tuition,Active,Category,Without Type,Append,URL,JSON,SMORG,onsite,remote,blended
Graphic Designer Diploma,51,1020,20.0,Yes,Yes,Diploma,16396,Yes,Graphic Design and Coding,GRAPHIC DESIGNER,,graphic_designer,graphic_designer_programdata.json,graphic_designer_diploma.pdf,1,1,1
Human Resources Administration Certificate,29,587,20.2,Yes,Yes,Certificate,8468,Yes,Business,HUMAN RESOURCES ADMINISTRATION,,human_resources_administration,human_resources_administration_programdata.json,human_resources_administration_certificate.pdf,1,1,1
Marketing Administrative Assistant Certificate,34,697,20.5,Yes,Yes,Certificate,10655,Yes,Marketing,MARKETING ADMINISTRATIVE ASSISTANT,,marketing_administrative_assistant,marketing_administrative_assistant_programdata.json,marketing_administrative_assistant_certificate.pdf,1,1,1
Marketing Coordinator Diploma,43,868,20.2,Yes,Yes,Diploma,14242,Yes,Marketing,MARKETING COORDINATOR,,marketing_coordinator,marketing_coordinator_programdata.json,marketing_coordinator_diploma.pdf,1,1,1
Medical Administrative Assistant Certificate,40,801,20.0,Yes,Yes,Certificate,10875,Yes,Healthcare,MEDICAL ADMINISTRATIVE ASSISTANT,,medical_administrative_assistant,medical_administrative_assistant_programdata.json,medical_administrative_assistant_certificate.pdf,1,1,1
Medical Office Assistant Diploma,42,973,23.2,Yes,Yes,Diploma,14133,Yes,Healthcare,MEDICAL OFFICE ASSISTANT,,medical_office_assistant,medical_office_assistant_programdata.json,medical_office_assistant_diploma.pdf,1,1,1
Medical Office Assistant Diploma W/ Unit Clerk,52,1269,24.4,Yes,Yes,Diploma,16455,Yes,Healthcare,MEDICAL OFFICE ASSISTANT W/ UNIT CLERK,,medical_office_assistant_w_unit_clerk,medical_office_assistant_w_unit_clerk_programdata.json,medical_office_assistant_w_unit_clerk_diploma.pdf,1,1,1
Medical Office Front Desk Assistant Certificate,,574,,Yes,Yes,Certificate,7048,No,Healthcare,MEDICAL OFFICE FRONT DESK ASSISTANT,,medical_office_front_desk_assistant,medical_office_front_desk_assistant_programdata.json,medical_office_front_desk_assistant_certificate.pdf,1,1,1
Microsoft Certified Solutions Associate: Server Cert.,19,382,20.1,Yes,Yes,Certificate,5624,Yes,IT,MICROSOFT CERTIFIED SOLUTIONS ASSOCIATE: SERVER CERT.,,microsoft_certified_solutions_associate_server_cert_,microsoft_certified_solutions_associate_server_cert_programdata.json,microsoft_certified_solutions_associate_server_cert__certificate.pdf,1,1,1
Microsoft Certified Solutions Associate: Windows,,417,,Yes,No,Certificate,5624,No,IT,MICROSOFT CERTIFIED SOLUTIONS ASSOCIATE: WINDOWS,,microsoft_certified_solutions_associate_windows,microsoft_certified_solutions_associate_windows_programdata.json,microsoft_certified_solutions_associate_windows_certificate.pdf,1,1,1
Network Administrator Diploma,73,1478,20.2,Yes,Yes,Diploma,20916,Yes,IT,NETWORK ADMINISTRATOR,,network_administrator,network_administrator_programdata.json,network_administrator_diploma.pdf,1,1,1
Office Administration Assistant Certificate,21,432,20.6,Yes,Yes,Certificate,6296,Yes,Business,OFFICE ADMINISTRATION ASSISTANT,,office_administration_assistant,office_administration_assistant_programdata.json,office_administration_assistant_certificate.pdf,1,1,1
Office Administration Diploma,48,972,20.3,Yes,Yes,Diploma,14251,Yes,Business,OFFICE ADMINISTRATION,,office_administration,office_administration_programdata.json,office_administration_diploma.pdf,1,1,1
Office Clerk Certificate,19,398,20.9,Yes,Yes,Certificate,5487,Yes,Business,OFFICE CLERK,,office_clerk,office_clerk_programdata.json,office_clerk_certificate.pdf,1,1,1
Payroll Administrator Certificate,34,690,20.3,Yes,Yes,Certificate,10882,Yes,Accounting,PAYROLL ADMINISTRATOR,,payroll_administrator,payroll_administrator_programdata.json,payroll_administrator_certificate.pdf,1,1,1
Payroll Clerk Certificate,24,493,20.5,Yes,Yes,Certificate,7656,Yes,Accounting,PAYROLL CLERK,,payroll_clerk,payroll_clerk_programdata.json,payroll_clerk_certificate.pdf,1,1,1
PC Support Specialist Diploma,50,1003,20.1,Yes,Yes,Diploma,13604,Yes,IT,PC SUPPORT SPECIALIST,,pc_support_specialist,pc_support_specialist_programdata.json,pc_support_specialist_diploma.pdf,1,1,1
Project Administration Diploma,45,918,20.4,Yes,Yes,Diploma,14175,Yes,Business,PROJECT ADMINISTRATION,,project_administration,project_administration_programdata.json,project_administration_diploma.pdf,1,1,1
Psa - Computerized Office Skills Certificate,,232,,Yes,Yes,Certificate,3471,No,Business,PSA - COMPUTERIZED OFFICE SKILLS,,psa_computerized_office_skills,psa_computerized_office_skills_programdata.json,psa_computerized_office_skills_certificate.pdf,1,1,1
Sales Associate Certificate,18,370,20.6,Yes,Yes,Certificate,5651,Yes,Business,SALES ASSOCIATE,,sales_associate,sales_associate_programdata.json,sales_associate_certificate.pdf,1,1,1
Sales Professional Diploma,773,38,0.0,Yes,Yes,Diploma,11787,Yes,Business,SALES PROFESSIONAL,,sales_professional,sales_professional_programdata.json,sales_professional_diploma.pdf,1,1,1
Software And Web Developer Diploma,47,949,20.2,Yes,Yes,Diploma,17063,Yes,Graphic Design and Coding,SOFTWARE AND WEB DEVELOPER,,software_and_web_developer,software_and_web_developer_programdata.json,software_and_web_developer_diploma.pdf,1,1,1
Web Designer Diploma,51,1084,21.3,Yes,Yes,Diploma,17114,Yes,Graphic Design and Coding,WEB DESIGNER,,web_designer,web_designer_programdata.json,web_designer_diploma.pdf,1,1,1
Web Developer Diploma,29,591,20.4,Yes,Yes,Diploma,10774,Yes,Graphic Design and Coding,WEB DEVELOPER,,web_developer,web_developer_programdata.json,web_developer_diploma.pdf,1,1,1
IT Tech Support Specialist,47,1034,22.0,Yes,Yes,Diploma,15889,Yes,IT,IT TECH SUPPORT SPECIALIST,,it_tech_support_specialist,it_tech_support_specialist_programdata.json,it_tech_support_specialist_diploma.pdf,0,1,0
